date,home_team,away_team,home_score,away_score,status,game_id,neutral_site
2026-09-01,Wentworth,Emmanuel (MA),3,1,FINAL,6634511,False
2026-09-01,Thomas (ME),UMass Boston,0,3,FINAL,6635545,False
2026-09-01,Wentworth,Emerson,2,3,FINAL,6634513,False
2026-09-01,Ill. Wesleyan,Wartburg,3,0,FINAL,6634835,False
2026-09-01,Salisbury,Stockton,3,0,FINAL,6632526,False
2026-09-01,Mary Hardin-Baylor,Concordia (TX),3,0,FINAL,6632614,False
2026-09-01,Wm. Paterson,St. Joseph's (L.I.),3,0,FINAL,6632754,False
2026-09-01,St. Joseph's (Brkln),Rutgers-Newark,2,3,FINAL,6632728,False
2026-09-01,SUNY Oneonta,Skidmore,0,3,FINAL,6633486,False
2026-09-01,St. John Fisher,Ithaca,1,3,FINAL,6633906,False
2026-09-01,Alfred St.,Houghton,3,1,FINAL,6634386,False
2026-09-01,Wartburg,Aurora,0,3,FINAL,6634618,False
2026-09-01,Central (IA),Bethel (MN),1,3,FINAL,6636559,False
2026-09-01,FDU-Florham,Farmingdale St.,3,1,FINAL,6632052,False
2026-09-01,Greensboro,Wash. & Lee,0,3,FINAL,6632096,False
2026-09-01,Nichols,Colby-Sawyer,2,3,FINAL,6632931,False
2026-09-01,Spalding,Rose-Hulman,1,3,FINAL,6633067,False
2026-09-01,Eastern Conn. St.,Saint Joseph (CT),3,0,FINAL,6633156,False
2026-09-01,Vassar,Sarah Lawrence,0,3,FINAL,6633185,False
2026-09-01,Bethany (WV),Pitt.-Greensburg,3,1,FINAL,6633209,False
2026-09-01,Plattsburgh St.,Clarkson,0,3,FINAL,6633383,False
2026-09-01,Meredith,Guilford,3,0,FINAL,6633814,False
2026-09-01,Brandeis,Simmons,3,0,FINAL,6634027,False
2026-09-01,Keene St.,Worcester St.,3,0,FINAL,6634229,False
2026-09-01,Mount Aloysius,Geneva,2,3,FINAL,6634447,False
2026-09-01,Wm. Paterson,Brooklyn,3,0,FINAL,6634689,False
2026-09-01,Southern Me.,St. Joseph's (ME),1,3,FINAL,6635016,False
2026-09-01,Southern Va.,Lynchburg,0,3,FINAL,6635196,False
2026-09-01,WPI,Bridgewater St.,1,3,FINAL,6635203,False
2026-09-01,Keuka,RIT,1,3,FINAL,6635346,False
2026-09-01,Bard,Western New Eng.,0,3,FINAL,6635518,False
2026-09-01,Wis. Lutheran,Luther,2,3,FINAL,6635735,False
2026-09-01,Arcadia,Bryn Mawr,3,0,FINAL,6635888,False
2026-09-01,Mt. St. Mary (NY),Albertus Magnus,3,0,FINAL,6636085,False
2026-09-01,Misericordia,Scranton,0,3,FINAL,6636372,False
2026-09-01,Roger Williams,Salve Regina,3,1,FINAL,6636498,False
2026-09-01,Buffalo St.,Hilbert,3,0,FINAL,6637002,False
2026-09-01,New England Col.,Plymouth St.,1,3,FINAL,6638476,False
2026-09-01,SUNY New Paltz,WestConn,3,1,FINAL,6638487,False
2026-09-01,Coast Guard,Westfield St.,3,0,FINAL,6638811,False
2026-09-01,SUNY Potsdam,St. Lawrence,0,3,FINAL,6635994,False
2026-09-01,Oglethorpe,Piedmont,3,1,FINAL,6636624,False
2026-09-01,Wooster,Allegheny,3,1,FINAL,6632005,False
2026-09-01,Millikin,UChicago,1,3,FINAL,6632181,False
2026-09-01,Drew,Kean,0,3,FINAL,6632237,False
2026-09-01,Hiram,Oberlin,3,0,FINAL,6632329,False
